"","Year","Whole Milk","2% Milk","1% Milk","Skim Milk","Whole Flavored Milk","Low Fat Flavored","Buttermilk","Yogurt","American Cheese","Other American Cheese","Provolone","Romano","Parmesan","Mozzarella","Ricotta","Other Italian Cheese","Swiss","Brick","Muenster","Blue Cheese","Other Misc Cheese","Cottage Cheese","Lowfat Cottage Cheese","Ice Cream","Lowfat Ice Cream","Other Frozen Dairy","Canned Milk","Bulk Canned Milk","Skim Canned Milk","Whole Dry Milk","Nonfat Dry Milk","Dry Buttermilk","Half and Half","Eggnog","Cream Products"
"1",1970,114.08,12.25,0.67,3.44,2.81,1.33,1.99,0.42,24.51,3.9,0.8,0.62,0.75,2.81,0.39,0.29,1.97,0.26,0.48,0.34,1.02,2.91,0.22,28.77,9.4,5.72,7.25,1.5,3.6,0.76,13.97,0.7,0.35,0.03,0.38
"2",1971,111.48,13.54,1.1,3.66,3.11,1.15,2,0.55,24.99,4.58,0.77,0.59,0.89,3.27,0.45,0.29,2.09,0.28,0.53,0.36,1.02,2.95,0.31,28.56,9.32,5.5,7.05,1.34,3.63,0.56,13.81,0.74,0.33,0.04,0.37
"3",1972,107.07,15.12,1.7,3.68,3.55,1.13,1.94,0.65,25.42,5.4,0.84,0.67,1.04,3.72,0.5,0.3,2.36,0.27,0.6,0.4,1.39,2.95,0.37,28.33,9.32,5.46,6.33,1.5,3.39,0.41,12.07,0.64,0.31,0.05,0.37
"4",1973,101.71,17.1,1.45,4.1,3.67,1.2,1.81,0.69,25.7,5.69,0.94,0.64,0.83,4.17,0.54,0.34,2.35,0.28,0.6,0.42,1.62,2.76,0.46,28.28,9.26,5.36,5.98,1.39,3.06,0.36,13.86,0.52,0.32,0.04,0.36
"5",1974,96.18,16.69,2.78,4.11,3.38,1.16,1.66,0.73,26.69,6.99,0.96,0.63,1.14,4.4,0.53,0.32,2.63,0.29,0.63,0.38,1.52,2.45,0.43,28.32,9.31,4.92,5.4,1.46,2.49,0.25,10.91,0.58,0.3,0.04,0.34
"6",1975,93.44,17.72,4.65,3.41,3.17,1.48,1.68,0.99,25.55,6.83,0.98,0.66,1.07,5,0.6,0.28,2.43,0.24,0.67,0.38,1.43,2.44,0.45,31.33,9.72,4.4,4.79,1.68,2.56,0.27,8.6,0.57,0.29,0.04,0.33
"7",1976,89.96,19.21,4.83,3.44,3.39,1.76,1.68,1.08,27.29,7.88,1.11,0.71,1.24,5.47,0.65,0.3,2.78,0.23,0.71,0.43,1.33,2.45,0.47,30.36,9.22,4.09,4.55,1.55,2.61,0.55,9.24,0.49,0.3,0.04,0.34
"8",1977,85.86,20.75,5,3.53,3.29,2.14,1.64,1.18,28.77,7.81,1.21,0.65,1.19,5.83,0.65,0.33,2.7,0.19,0.7,0.42,1.37,2.44,0.48,29.75,9.83,3.93,3.94,1.38,2.82,0.56,8.73,0.73,0.3,0.05,0.34
"9",1978,82.76,21.7,5.32,3.39,3.06,2.19,1.59,1.24,29.37,8.37,1.28,0.75,1.25,6.34,0.71,0.4,2.97,0.2,0.74,0.45,1.28,2.39,0.52,29.65,9.79,3.67,3.79,1.26,2.52,0.91,8.18,0.62,0.29,0.05,0.34
"10",1979,79.74,22.91,5.34,3.44,2.75,2.23,1.5,1.24,29.33,8.63,1.41,0.67,1.44,6.63,0.74,0.31,3.01,0.17,0.78,0.42,1.32,2.28,0.53,29.16,9.26,3.43,3.74,1.32,2.42,1.06,8.66,0.51,0.29,0.05,0.34
