"","Year","Butter","Margarine","Lard","Beef Tallow","Shortening","Salad, Cooking Oils","Other Added Fats","Light Cream","Half and Half","Heavy Cream","Sour Cream","Cream Cheese","Eggnog"
"1",1970,29.02,58.64,16.27,NA,99.62,115.5,18.33,0.62,2.89,1.74,1.85,1.64,0.07
"2",1971,27.83,58.56,14.73,NA,96.5,117.22,18.33,0.54,2.68,1.75,2.02,1.67,0.09
"3",1972,26.78,59.33,12.55,NA,101.19,126.33,18.33,0.48,2.57,1.7,2.14,1.7,0.12
"4",1973,26,58.68,11.71,NA,97.94,132.78,20.72,0.63,2.61,1.82,2.18,1.76,0.09
"5",1974,24.13,58.32,10.98,NA,97.29,135.63,13.55,0.67,2.44,1.74,2.46,1.88,0.09
"6",1975,25.57,57.44,11.02,NA,96.87,134.22,15.79,0.67,2.38,1.77,2.75,1.98,0.09
"7",1976,23.33,61.55,9.94,NA,100.42,146.18,16.26,0.58,2.43,1.9,2.73,2.06,0.1
"8",1977,23.23,58.1,8.46,NA,94.53,143.67,15.27,0.52,2.43,1.84,2.81,2.14,0.1
"9",1978,23.55,57.13,7.93,NA,98.31,150.58,16.22,0.53,2.41,1.77,2.86,2.38,0.1
"10",1979,24.29,56.25,8.29,1.41,101.53,155.94,13.35,0.49,2.41,1.98,2.98,2.52,0.1
"11",1980,24.16,56.4,8.52,3.84,96.98,159.49,12,0.4,2.42,2.24,3.04,2.68,0.1
"12",1981,22.92,54.99,8.07,3.53,95.74,162.85,11.09,0.41,2.47,2.32,3.13,2.8,0.11
"13",1982,23.54,54.14,8.39,4.89,95.6,161.08,12.84,0.45,2.45,2.38,3.3,2.99,0.11
"14",1983,26.54,50.45,6.22,7.77,94.22,177.14,12.41,0.48,2.55,2.69,3.51,3.07,0.12
"15",1984,26.92,50.08,6.8,6.43,115.25,169.2,13.62,0.52,2.77,3,3.76,3.12,0.12
"16",1985,26.35,51.55,5.75,7.25,126.98,179.58,12.53,0.6,2.99,3.27,3.88,3.28,0.12
"17",1986,26.14,54.04,5.57,6.7,122.54,187.79,13.38,0.72,3.15,3.47,3.99,3.57,0.12
"18",1987,23.99,49.31,5.67,3.45,119.72,198.86,10.37,0.71,3.1,3.6,4.12,3.77,0.12
"19",1988,24.26,47.98,5.41,3.12,118.77,207.02,10.34,0.68,3.06,3.84,4.22,4.1,0.13
"20",1989,23.96,46.81,4.32,1,117.63,192.24,10.08,0.68,3.1,4.13,4.27,4.33,0.12
"21",1990,23.3,49.59,3.27,2.24,118.35,188.81,9.27,0.59,2.95,4.16,4.25,4.59,0.12
"22",1991,23.67,47.68,2.51,5.26,116.07,197.44,10.09,0.52,3.02,4.02,4.42,4.7,0.11
"23",1992,23.39,48.91,1.48,8.66,118.13,203.07,11.38,0.57,3.12,4.19,4.57,5.37,0.11
"24",1993,25.17,48.94,1.33,7.96,138.16,199.32,13.81,0.59,3.15,4.3,4.53,5.51,0.1
"25",1994,25.59,43.29,2.5,8.82,135.73,195.14,12.89,0.53,3.08,4.52,4.57,5.77,0.1
"26",1995,24.94,39.56,1.41,9.78,127.28,198.83,12.97,0.6,3.11,4.84,4.88,5.46,0.1
"27",1996,23.22,38.91,2.02,10.57,125.67,192.82,10.66,0.65,3.24,5.35,4.8,5.65,0.09
"28",1997,22.65,35.84,2.77,7.78,117.54,210.57,8.68,0.73,3.23,5.92,4.94,6.03,0.09
"29",1998,23.46,34.21,2.55,11.43,117.38,204.86,10.53,0.81,3.23,5.98,5.02,5.91,0.09
"30",1999,24.96,32.53,2.41,12.97,120.52,215.93,12.31,1.01,3.43,6.37,5.11,6.05,0.09
"31",2000,24.16,33.32,2.85,14.48,181.18,253.24,12.09,NA,3.56,NA,5.49,6.4,0.11
"32",2001,23.49,28.28,4.15,11.07,186.39,267.03,11.38,NA,4,NA,5.89,5.93,0.11
"33",2002,23.79,26.42,4.67,12.28,188.36,297.96,11.11,NA,NA,NA,6.07,6.24,0.13
"34",2003,24.09,21.31,4.61,13.84,186.74,301.71,10.57,NA,NA,NA,5.46,6.16,0.13
"35",2004,24.31,21.23,2.73,14.41,186.53,300.05,11.83,NA,NA,NA,5.71,6.28,0.12
"36",2005,24.41,16.25,5.64,13.69,166.49,320.95,12.91,NA,NA,NA,5.93,6.37,0.12
"37",2006,25.23,18.54,6.06,14.11,142.65,334.64,17.1,NA,NA,NA,6.37,6.56,0.12
"38",2007,25.33,18.34,5.86,10.71,120.32,376.97,13.39,NA,NA,NA,6.38,6.68,0.11
"39",2008,26.9,16.99,3.79,10.69,103.41,405.81,13.14,NA,NA,NA,6.41,6.47,0.11
"40",2009,26.78,14.83,5.29,2.5,91.46,383.29,13.4,NA,NA,NA,6.6,6.41,0.11
"41",2010,26.57,14.35,5.63,11.94,88.01,402.33,13.33,NA,NA,NA,6.73,6.17,0.11
"42",2011,29.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.83,5.89,0.11
"43",2012,29.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.92,6.43,0.1
"44",2013,29.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.87,6.61,0.1
"45",2014,29.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.94,6.57,0.1
"46",2015,30.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.01,6.69,0.09
"47",2016,30.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.21,6.99,0.1
"48",2017,34.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.04,7.87,0.12
