"","Year","White, Whole Flour","Durum Flour","Rye Flour","Rice","Corn Flour, Meal","Hominy and Grits","Cornstarch","Oat Products","Barley Products"
"1",1970,310.74,22.45,5.29,20.59,22.33,7.12,4.99,13.54,2.76
"2",1971,309.9,22.13,5.03,18.9,21.38,5.83,4.99,13.37,2.22
"3",1972,307.08,23.1,4.6,18.65,19.78,5.18,4.99,13.51,2.15
"4",1973,313.88,25.38,5.57,20.16,18.82,6.15,5.25,13.37,2.21
"5",1974,311.26,22.13,5.43,20.32,18.5,7.45,5.51,13.54,2.26
"6",1975,321.82,22.13,4.29,19,19.14,8.74,5.51,12.56,2.43
"7",1976,334.56,23.1,3.52,20.16,18.5,9.71,5.77,11.98,2.51
"8",1977,322.64,24.4,3.22,15.07,21.06,10.68,6.04,11.75,2.53
"9",1978,324.38,21.8,3.27,25.25,21.69,10.03,6.56,11.35,2.68
"10",1979,325.9,23.75,3.06,25.27,22.65,9.71,7.09,11.15,2.69
"11",1980,329.59,21.48,3.12,29.4,23.61,9.06,7.09,11.11,2.66
"12",1981,328.01,19.85,3,31.73,24.57,8.74,7.61,11.04,2.66
"13",1982,331.02,19.85,2.8,26.4,25.52,9.39,7.61,11.07,2.64
"14",1983,332.57,20.83,2.94,23.12,26.8,9.71,8.66,10.75,2.65
"15",1984,334.75,23.1,2.91,24.47,29.99,10.03,9.19,10.68,2.63
"16",1985,348.19,26.36,2.89,31.19,32.86,10.36,9.71,11.37,2.64
"17",1986,348.82,28.96,2.86,35.56,38.29,10.68,10.76,11.52,2.61
"18",1987,356.3,34.49,2.84,37.49,44.67,11.01,11.29,12.63,2.46
"19",1988,365.99,29.94,2.81,39.35,45.62,10.68,10.76,18.28,2.34
"20",1989,358.17,30.26,2.79,41.93,46.58,10.03,10.76,18.43,2.18
"21",1990,371.23,37.02,2.76,43,46.09,9.5,10.5,18.57,2.07
"22",1991,372.72,35.79,2.72,44.04,47.7,9.01,10.48,18.65,1.91
"23",1992,372.8,43.38,2.63,43.53,48.81,8.52,11,18.6,1.92
"24",1993,384.34,44.15,2.68,45.25,49.77,10.12,11.52,17.31,1.92
"25",1994,386.09,44.84,2.48,45.48,50.73,11.69,11.81,16.39,1.93
"26",1995,379.35,42.48,2.45,47.96,51.68,12.95,12.34,15.51,1.94
"27",1996,397.18,43.96,2.53,48.33,52.64,14.57,12.86,14.41,1.95
"28",1997,401.93,40.05,2.38,47.45,53.6,15.86,12.6,13.34,1.89
"29",1998,393.43,37.02,2.6,50.04,54.24,17.48,12.6,12.73,1.87
"30",1999,398.39,34.77,2.33,50.26,55.19,18.77,12.34,12.54,1.85
"31",2000,399.67,41.08,2.3,51,55.83,20.07,12.34,12.38,1.83
"32",2001,382.9,42.31,2.28,51.71,56.79,21.36,12.07,12.79,1.78
"33",2002,370.7,41.78,2.26,50.77,57.75,22.66,12.07,12.88,1.79
"34",2003,373.7,38.4,2.23,51.67,58.38,23.95,12.07,13.22,1.8
"35",2004,370.88,34.37,2.21,51.53,59.34,25.25,11.81,13.23,1.81
"36",2005,366.46,38.33,2.19,51.57,59.98,26.22,11.81,13.08,1.82
"37",2006,369.46,39.76,2.17,54.06,60.62,27.51,11.55,13.29,1.77
"38",2007,376.44,40.14,2.15,54.01,60.94,28.81,11.55,13.47,1.79
"39",2008,374.31,37.01,2.13,54.51,61.58,30.1,11.55,13.36,1.8
"40",2009,368.06,37.51,2.11,54.4,61.58,30.1,11.55,13.27,1.81
"41",2010,367.26,38.89,2.09,54.38,61.58,30.1,11.81,13.35,1.77
"42",2011,395.96,NA,2.09,NA,63.52,31.06,12.18,13.57,1.75
"43",2012,401.53,NA,2.13,NA,63.14,30.87,12.11,13.34,1.66
"44",2013,403.6,NA,2.13,NA,63.14,30.87,12.11,12.87,1.9
"45",2014,402.56,NA,2.13,NA,63.49,30.75,12.07,12.82,1.94
"46",2015,397.68,NA,2.22,NA,63.49,30.75,12.07,13.04,2.01
"47",2016,393.58,NA,2.25,NA,63.81,30.75,12.34,13.13,2.24
"48",2017,393.96,NA,2.3,NA,67,30.75,12.34,13.61,2.35
