"","Year","Beef","Veal","Pork","Lamb","Chicken","Turkey","Fresh Fish","Fresh Shellfish","Canned Salmon","Canned Sardines","Canned Tuna","Canned Shellfish","Other Canned","Eggs","Peanuts","Almonds","Hazelnuts","Pecans","Walnuts","Macadamia nuts","Pistachios","Other nuts","Coconuts"
"1",1970,219.58,3.48,96.74,5.48,64.72,9.49,3.84,1.43,0.92,0.61,2.79,0.47,0.53,48.3,35.74,1.81,0.32,2.84,2.19,0.23,0.2,3.42,3.28
"2",1971,217.79,3.18,105.64,5.31,64.61,9.84,3.67,1.43,0.93,0.62,2.7,0.48,0.4,48.48,35.21,1.96,0.37,3.11,2.56,0.25,0.27,3.43,3.63
"3",1972,221.3,2.71,95.95,5.55,66.9,10.53,4.01,1.43,0.94,0.63,3.3,0.48,0.53,47.42,36.98,1.94,0.41,3.03,2.44,0.22,0.19,4.12,3.9
"4",1973,208.92,2.12,86.09,4.47,63.92,9.86,4.43,1.31,0.53,0.77,3.47,0.47,0.66,45.14,39.11,1.39,0.61,3,2.48,0.2,0.35,3.07,3.35
"5",1974,222.11,2.79,93.66,3.84,63.72,10.17,3.75,1.49,0.4,0.63,3.5,0.48,0.54,44.31,37.61,1.41,0.26,2.76,2.64,0.27,0.26,2.45,3.07
"6",1975,228.73,4.84,76.67,3.4,62.35,9.69,4.26,1.49,0.4,0.3,3.21,0.47,0.52,43.23,38.77,1.87,0.47,2.75,3.19,0.3,0.2,3.47,3.07
"7",1976,244.22,4.61,81.13,3.06,67.29,10.42,4.74,1.54,0.41,0.47,3.19,0.39,0.53,42.28,36.55,2.27,0.42,2.34,3.25,0.31,0.2,3.15,3.14
"8",1977,237.52,4.47,84.3,2.82,68.48,10.26,4.36,1.55,0.65,0.46,3.11,0.57,0.53,41.86,36.83,2.41,0.38,2.6,3.08,0.32,0.22,1.74,3.07
"9",1978,226.06,3.41,84.42,2.59,71.75,10.22,4.83,1.42,0.79,0.46,3.69,0.47,0.4,42.58,38.86,2.13,0.46,2.73,2.36,0.33,0.21,2.55,3.28
"10",1979,202.24,2.36,96.85,2.48,77.54,10.83,4.7,1.38,0.67,0.47,3.61,0.48,0.4,43.38,39.47,1.99,0.22,3.27,2.7,0.42,0.23,2.34,2.79
